Subject,Ifuture_both,Ifuture_task,Ipast_task,Ipast_both,ratio,diff,pastdiff,DTB,color
613e9d66,0.19040282684250096,0.15682627193247192,0.7209170304240199,0.9710427114243225,1.2141003193934676,0.03357655491002903,0.25012568100030264,-0.048989611081193735,#153cd8
611cff5e,0.16121591565340654,0.17221613738238745,0.8612417929664407,0.9504612943922947,0.9361254880281277,-0.011000221728980908,0.089219501425854,-0.054127040366283685,#153cd8
611e8be4,0.05451073260569731,0.050018028029292984,0.2672281647720206,0.4257958186312238,1.0898217053613786,0.004492704576404327,0.15856765385920318,-0.04109871104329103,#153cd8
5faa6cab,0.12805188381076132,0.09859867807917991,0.4446966231977953,0.6889873267258575,1.298718058957433,0.029453205731581417,0.2442907035280622,-0.044160940713914604,#153cd8
5b52f493,0.2264727237655555,0.16792806240145003,0.8924748510766343,1.7189920538918764,1.3486294102777663,0.058544661364105466,0.8265172028152421,-0.062129128365507935,#153cd8
61544c7e,0.1718546222327041,0.1365246703966616,0.5740917952293259,0.9167416406705342,1.2587807151146684,0.035329951836042484,0.34264984544120836,-0.039037480776712985,#153cd8
613a4cae,0.18151123905269656,0.1691568620122975,0.7037240662168484,0.9077332004304799,1.0730350332432919,0.012354377040399073,0.20400913421363154,-0.033606420927180664,#153cd8
5ae6313e,0.12094608882667676,0.11503176795909709,0.598285729671933,0.9059957389817542,1.051414674159252,0.0059143208675796755,0.3077100093098212,-0.06598900678920205,#153cd8
57fe6296,0.14449994406615713,0.14848282566111143,0.728188980707583,0.878172018326626,0.9731761462834456,-0.003982881594954302,0.14998303761904297,-0.05863657431634489,#153cd8
5eaf421a,0.14912894060012383,0.12481483651141241,0.6852942241970765,1.0088573829107836,1.1948013935545896,0.024314104088711416,0.3235631587137071,-0.07450256257008848,#153cd8
5e24c305,0.1849523384674187,0.15865147505560726,0.845836880903384,1.0857811138877527,1.1657776166442386,0.026300863411811454,0.23994423298436862,-0.06585581923453926,#153cd8
5ebefa4d,0.08207036275857942,0.06152938026977399,0.3655074411896654,0.619246725422706,1.333840230451599,0.020540982488805426,0.2537392842330406,-0.05895545135745464,#153cd8
5f5f53e5,0.1539987602846038,0.13853121894411055,0.641001015450634,0.9637973195763359,1.1116538312330415,0.015467541340493246,0.3227963041257018,-0.051911927111044254,#153cd8
5f418da1,0.10138884441987257,0.09327363213580843,0.46102098518681583,0.49841369549821246,1.08700435587464,0.008115212284064144,0.037392710311396626,-0.0539152420263818,#153cd8
59b39cd4,0.1992525876754619,0.17008841652779533,0.6927835489916154,1.2779503452186294,1.1714647695770666,0.029164171147666562,0.585166796227014,-0.030661671367451848,#153cd8
58d9a79c,0.19913830432837606,0.1419903494847929,0.6901014466402452,1.2097137133233324,1.4024777391628556,0.057147954843583176,0.5196122666830872,-0.05824665904194662,#153cd8
601d727d,0.1540086919431608,0.12226390844906646,0.6050474541159903,0.907895035025929,1.2596414910727216,0.03174478349409435,0.3028475809099388,-0.060277518438394295,#153cd8
605de3af,0.16153544127340164,0.1560356918581465,0.736126261041417,0.9348675134983708,1.035246739702702,0.005499749415255134,0.19874125245695384,-0.052506487313070394,#153cd8
6147a9a1,0.17279526444496113,0.12969272927487488,0.5199079950265578,0.8631706362040517,1.3323434969028478,0.04310253517008625,0.34326264117749383,-0.032783351112378956,#153cd8
5ee14621,0.1780859096769522,0.17707863091517814,0.8840493827743992,1.1015247376050703,1.0056883134716381,0.0010072787617740608,0.21747535483067115,-0.05199434870750266,#153cd8
61070b50,0.158739786717682,0.1312281676137844,0.6208307536047994,1.055648718843082,1.2096472091637112,0.0275116191038976,0.43481796523828264,-0.05481292197129589,#153cd8
61418d14,0.1496902995016512,0.09406895967497357,0.5325916397901456,0.811145398540184,1.5912826081936071,0.05562133982667762,0.2785537587500384,-0.07162254342176756,#153cd8
5fe546a1,0.15091931485987595,0.08390628331079017,0.4000948946677149,0.9407375937922009,1.7986652358425705,0.06701303154908578,0.5406426991244859,-0.04661619191257624,#153cd8
60c7acf7,0.11687665145265591,0.07501913225439778,0.4323935110643893,0.79061162278193,1.5579579227378273,0.04185751919825813,0.3582181117175407,-0.06440230857436795,#153cd8
5ffdf54a,0.21288081435745906,0.17979433242706064,0.8895037233532974,1.6831992148386816,1.1840240539496485,0.033086481930398426,0.7936954914853842,-0.049922847673632725,#153cd8
6154474d,0.03588460760110965,0.03364731390679864,0.2846789955934854,0.5008890298459396,1.0664924903220565,0.002237293694311006,0.21621003425245422,-0.06276765686348912,#153cd8
60a51aec,0.16380896993683214,0.15970342411745414,0.5612432670928749,0.8805880846528726,1.025707312426555,0.004105545819377998,0.3193448175599978,-0.012802755380742159,#153cd8
613bc88a,0.16629710016501048,0.14534291570763763,0.5953703059497176,0.75992719047916,1.1441706625696357,0.02095418445737285,0.1645568845294424,-0.03502220598108646,#153cd8
6111234a,0.11627712121772094,0.09506276818798956,0.5653434230250038,0.9388368805559274,1.2231615324706233,0.021214353029731375,0.37349345753092356,-0.07841861720611423,#153cd8
613de6cc,0.09853021183230179,0.0802694070526663,0.3403087959853268,0.5192921521874744,1.2274939538005336,0.018260804779635487,0.17898335620214756,-0.032902512109723045,#153cd8
60671cbc,0.18276254946993312,0.1659847462748391,0.5390764945687365,1.0077171215981127,1.1010803918530752,0.016777803195094004,0.46864062702937614,-0.001249153920663576,#153cd8
5796672b,0.05714080385392084,0.05289487832633037,0.38045575067524506,0.6301354796861821,1.0802710141688123,0.004245925527590469,0.24967972901093705,-0.07192811028826476,#153cd8
610b9b99,0.23225032451730118,0.17125459997259154,0.8604461887750121,1.5756568124621715,1.356169846266738,0.06099572454470964,0.7152106236871594,-0.054993761488352805,#153cd8
5e7fa0e9,0.23360568440965093,0.17951004188879893,0.948865455324083,1.7500851973371199,1.301351623294493,0.054095642520852,0.8012197420130369,-0.056700863428760184,#153cd8
602b9bfd,0.0874584033739297,0.06315128182333032,0.4183779623757363,0.6682074044742339,1.3849030589529452,0.024307121550599373,0.24982944209849756,-0.07246734917300265,#153cd8
5f330016,0.19174284504522,0.16158134998881052,0.6543638368902289,1.121670444995311,1.1866644576153011,0.03016149505640947,0.46730660810508207,-0.03163803298786236,#153cd8
6107d55f,0.12952253835004512,0.08139435080310573,0.48595245044739377,0.8690964751118843,1.5912964115084876,0.0481281875469394,0.3831440246644905,-0.07238466804240093,#153cd8
613fde25,0.16990474023725513,0.16429402156648196,0.6237471656215281,0.9954882023500626,1.0341504737499092,0.005610718670773174,0.37174103672853454,-0.022383560022805754,#153cd8
61401403,0.12649887661249443,0.0870540398526646,0.48129655152414863,0.739911928542518,1.4531074815894656,0.03944483675982982,0.25861537701836934,-0.06553245977486241,#153cd8
5fbfa308,0.20325484882788708,0.16175818907757245,0.7093041259921399,1.279905420916601,1.2565351404275091,0.041496659750314635,0.5706012949244611,-0.04199498223600601,#153cd8
5f2af6dc,0.16767087765341632,0.1502279339828218,0.7842208207789667,0.9001686839899001,1.1161098552589366,0.017442943670594513,0.11594786321093342,-0.06592521178148397,#153cd8
6101281e,0.08131712542434635,0.07039728312959684,0.36130130172699176,0.5929975532465976,1.1551173825081686,0.010919842294749516,0.23169625151960588,-0.04886688248737571,#153cd8
60039c60,0.2446043647710403,0.18137650908819203,0.8928145828469276,1.6223055991738324,1.3486000254426802,0.06322785568284828,0.7294910163269048,-0.048719430406810316,#153cd8
614f7a3a,0.08506144919748047,0.09299324242301292,0.4879963329133624,0.6383148167520314,0.9147057031364509,-0.007931793225532446,0.15031848383866897,-0.061309277718406816,#153cd8
60fd0591,0.1207979032057283,0.09722447292684139,0.7196079481540808,0.9611929087508415,1.2424639555168917,0.023573430278886906,0.2415849605967607,-0.10835675351199589,#153cd8
614f253f,0.168701817532564,0.18783474568196276,0.7001424488177145,0.9035041458327526,0.8981395690135298,-0.019132928149398765,0.20336169701503815,-0.01429316746460077,#153cd8
5db31089,0.051549576752136075,0.04350831058842626,0.39806039532646226,0.38528746825693905,1.1848213836610997,0.008041266163709815,-0.01277292706952321,-0.08642373147983577,#153cd8
5f24781f,0.19726801240901115,0.18587920925053764,0.9525493954189281,1.1742253642955829,1.0612699139639823,0.011388803158473515,0.22167596887665475,-0.05072303529323874,#153cd8
611d494b,0.08920368075731577,0.07572801985627255,0.44228867841319,0.6574764896245552,1.1779481482101244,0.013475660901043227,0.2151878112113652,-0.06637825625960907,#153cd8
5c041275,0.06286548313537128,0.05612353914338737,0.26529188625825384,0.36689213310614116,1.1201268504247253,0.006741943991983912,0.10160024684788732,-0.034405328079301495,#153cd8
60f4357c,0.1551990769170499,0.09774203968742792,0.6526304403504424,0.9506981557006979,1.587843648581158,0.05745703722962198,0.29806771535025556,-0.09512965673990059,#153cd8
613b3c33,0.14478608239271945,0.10513132838179155,0.586153145762658,0.9867248543717914,1.3771925516523387,0.0396547540109279,0.4005717086091334,-0.07316093534423247,#153cd8
61254bf4,0.16402164568432723,0.12331136877145668,0.5199717635206077,0.8924003732157487,1.3301421216751095,0.04071027691287055,0.372428609695141,-0.03918104469259065,#153cd8
6145c2b0,0.1033778648655322,0.08805553140390132,0.42544724414992985,0.4185587412498243,1.1740076201612932,0.01532233346163088,-0.006888502900105564,-0.049481193192356554,#153cd8
5d57f9cd,0.13853915374484102,0.14231166134049253,0.7434132121736403,0.8910023802611752,0.9734912265086593,-0.0037725075956515086,0.14758916808753486,-0.06743602730324041,#153cd8
5f0c6887,0.2275865952951733,0.19250008356923148,0.9787749327799627,1.6430820262463555,1.1822675142544714,0.03508651172594182,0.6643070934663927,-0.04678562502239397,#153cd8
605b4ce0,0.2178043091786983,0.15929267526835159,0.6256567852003071,1.2323400719088744,1.367321559586939,0.05851163391034672,0.6066832867085673,-0.027801671025648206,#153cd8
614072e7,0.07990660899434723,0.07876122991906037,0.3816747783923168,0.5672041848550078,1.0145424224134632,0.001145379075286862,0.185529406462691,-0.04641553338916882,#153cd8
61085ff4,0.08886355744279135,0.08792759380036681,0.41331736802672453,0.5593415313824841,1.010644708924363,0.0009359636424245421,0.14602416335575957,-0.046317956599845375,#153cd8
5fa10903,0.12649947151438284,0.11991919581596314,0.6774547380957496,0.7513379492247836,1.0548725802707875,0.0065802756984197075,0.07388321112903395,-0.07789852948305201,#153cd8
6089721b,0.14421521649857283,0.10154716502539496,0.44933073201525253,0.658912901470595,1.420179642262858,0.04266805147317787,0.20958216945534247,-0.0424698169267928,#153cd8
613a9a26,0.07544444590553429,0.07643773650875242,0.46239441006627746,0.5958373272946865,0.9870052326431147,-0.000993290603218136,0.13344291722840906,-0.07112378618484728,#153cd8
612d416b,0.2282357395462721,0.17042472801277553,0.9009304119720456,1.5383735460875267,1.339217273265432,0.057811011533496576,0.6374431341154811,-0.06059687720772608,#153cd8
5d91e1e7,0.17906686367467262,0.15153644908744884,0.7266408890210087,1.1118302772063942,1.1816751992871133,0.027530414587223773,0.3851893881853855,-0.05530545122399433,#153cd8
5c5d36bc,0.1936469911763484,0.15701499825037338,0.8313496618046672,1.1795868383077295,1.2333025082582383,0.03663199292597502,0.3482371765030623,-0.06561962734868773,#153cd8
5eff5f05,0.09546760225072984,0.06571996052855299,0.33518361533224156,0.6017072629162761,1.4526424161385878,0.02974764172217685,0.2665236475840345,-0.04596457718223168,#153cd8
6077a808,0.1758020642927307,0.16742722303621915,0.774329348120791,1.221435791454115,1.0500207857756791,0.008374841256511556,0.44710644333332394,-0.04720798801086695,#153cd8
6106ac34,0.19279044719331404,0.16141361294003737,0.79908180558784,1.3046039829446694,1.1943877823051559,0.03137683425327667,0.5055221773568294,-0.056918452043410034,#153cd8
5fd80e19,0.12162913702786723,0.09373793929876292,0.3667224476798084,0.7462353307179752,1.297544387446038,0.02789119772910431,0.3795128830381668,-0.02709950001965608,#153cd8
5ae59f8c,0.1475559150119063,0.15515314695398427,0.7622968254079617,0.901495834670016,0.9510339809972969,-0.007597231942077981,0.1391990092620543,-0.05759331316747354,#153cd8
60d1be6a,0.18104299556446568,0.143144479461855,0.6019421758328922,0.9288335264452954,1.2647570918912723,0.03789851610261069,0.32689135061240315,-0.03869859775120646,#153cd8
5daca079,0.0747326701066425,0.07047907479493477,0.41526153269383403,0.3229505595255723,1.0603525986129068,0.004253595311707728,-0.09231097316826176,-0.06429398178260874,#153cd8
6041603b,0.10343444571269647,0.09270386374286431,0.5579581832554261,0.7965522096547947,1.1157511837866427,0.010730581969832162,0.23859402639936855,-0.079020971538219,#153cd8
5c919cee,0.08678537446285464,0.0823012608348053,0.5109571392977483,0.6667849722016281,1.0544841425582754,0.0044841136280493465,0.1558278329038798,-0.07788222951775581,#153cd8
5f2ae58f,0.2243266930678094,0.17525671210254076,0.8585692558558913,1.2402012534908156,1.2799891677561446,0.04906998096526863,0.3816319976349243,-0.05076796550452181,#153cd8
604c285c,0.03870655838833788,0.033744374271303126,0.0867878775809457,0.35060703498824736,1.1470521894150127,0.004962184117034751,0.26381915740730166,0.0022779171674550194,#153cd8
5fae59f2,0.16668028163153098,0.15718800374573053,0.7072448836315525,1.081265532302326,1.0603880554470002,0.009492277885800454,0.37402064867077345,-0.046199863224473975,#153cd8
6138e5b4,0.15130385174792876,0.14532689758165793,0.7919547936495531,0.9170097086771591,1.0411276526625943,0.005976954166270837,0.12505491502760602,-0.07197333409132958,#153cd8
